asset_id,asset_name,asset_type,environment,exposure_type,vendor,trust_boundary,entry_points,logical_data_classes,description,notes,mapped_data_class_ids,mapped_control_ids,Unnamed: 13
AS-028,Threat Intelligence Gateway,Security Service,Prod,Remote,SecurityVendor,External Service Boundary,HTTPS API,Threat Indicators; Telemetry,Enriches detection tooling with threat intel feeds.,,CRT-D-0044,CRT-C-0052; CRT-C-0003; CRT-C-0017; CRT-C-0049,
AS-029,Backup Infrastructure,Backup System,Prod,Hybrid,BackupVendor,Resilience Boundary,Backup Agents; API,Backup Archives; System Snapshots,Backup and restore services for operational resilience.,,CRT-D-0032;CRT-D-0027,CRT-C-0062; CRT-C-0060; CRT-C-0002; CRT-C-0003; CRT-C-0049,
AS-030,Disaster Recovery Site,Secondary Infra,DR,Hybrid,CloudProvider,DR Boundary,VPN; Replication; RDP,Backup Archives; Financial Data,Secondary failover and continuity environment.,,CRT-D-0032;CRT-D-0010,CRT-C-0060; CRT-C-0018; CRT-C-0003; CRT-C-0049; CRT-C-0062,
AS-031,Collaboration Suite,SaaS Application,Prod,Remote,CollabVendor,Off-Prem Vendor Boundary,HTTPS UI; Mobile App,Documentation; Contact Data,Internal communication and document collaboration.,,CRT-D-0037;CRT-D-0007,CRT-C-0003; CRT-C-0002; CRT-C-0022; CRT-C-0028; CRT-C-0029; CRT-C-0030; CRT-C-0049,
AS-032,Video Conferencing Service,SaaS Application,Prod,Remote,CollabVendor,Off-Prem Vendor Boundary,HTTPS UI; Media Streams,Contact Data; Meeting Metadata,Video meetings with internal/external participants.,,CRT-D-0007;CRT-D-0037,CRT-C-0003; CRT-C-0022; CRT-C-0028; CRT-C-0029; CRT-C-0030; CRT-C-0049,
AS-033,APM / Monitoring Platform,Monitoring Service,Prod,Hybrid,MonitoringVendor,Analytics Boundary,Agent; HTTPS API,System Metrics; Security Telemetry,"Collects performance,  reliability,  and anomaly signals.",,CRT-D-0027;CRT-D-0023,CRT-C-0049; CRT-C-0017; CRT-C-0052; CRT-C-0065; CRT-C-0003,
AS-034,Application Load Balancer,Network Appliance,Prod,Local,Internal,Perimeter Boundary,HTTPS; TCP Proxy,System Metrics; Access Logs,Balances traffic across app servers and enforces basic filtering.,,CRT-D-0027;CRT-D-0008,CRT-C-0003; CRT-C-0016; CRT-C-0017; CRT-C-0049; CRT-C-0014,
AS-035,Internal DNS Service,DNS Infrastructure,Prod,Local,Internal,Network Boundary,DNS; DoT,Query Logs; System Metadata,Resolves hostnames and supports network routing.,,CRT-D-0008;CRT-D-0027,CRT-C-0017; CRT-C-0049; CRT-C-0065; CRT-C-0057,
AS-036,API Gateway,Gateway Service,Prod,Hybrid,Internal,Perimeter Boundary,HTTPS; REST; WebSockets,API Payloads; Access Logs,"Central enforcement point for auth, rate limits,  and routing.",,CRT-D-0009;CRT-D-0008,CRT-C-0019; CRT-C-0003; CRT-C-0021; CRT-C-0017; CRT-C-0049; CRT-C-0016,
AS-037,IoT / Sensor Gateway,Edge Gateway,Prod,Remote,DeviceVendor,Edge Boundary,MQTT; HTTPS,IoT Telemetry; Operational Data,Device telemetry ingestion to core systems.,,CRT-D-0027;CRT-D-0023,CRT-C-0043; CRT-C-0003; CRT-C-0017; CRT-C-0049; CRT-C-0014,
AS-038,Data Classification Registry UI,Internal Tool,Prod,Local,Internal,App Tier Boundary,Web UI; API,Classification Metadata; Workflow Metadata,Internal UI for CRT-D structure and category maintenance.,,CRT-D-0005;CRT-D-0037,CRT-C-0001; CRT-C-0003; CRT-C-0049; CRT-C-0065,
AS-039,Attack Surface Mapper Console,Internal Tool,Prod,Local,Internal,App Tier Boundary,Web UI; API,Operational Data; Documentation,UI for exploring attack surface entities and relationships.,,CRT-D-0003;CRT-D-0037,CRT-C-0003; CRT-C-0049; CRT-C-0065; CRT-C-0005,
AS-040,Third-Party Risk Portal,SaaS Application,Prod,Remote,RiskVendor,Off-Prem Vendor Boundary,HTTPS UI; Questionnaire Uploads,Vendor Data; Strategic Data,"Manages onboarding,  due diligence and supply-chain assessments.",,CRT-D-0011;CRT-D-0039,CRT-C-0025; CRT-C-0026; CRT-C-0027; CRT-C-0028; CRT-C-0029; CRT-C-0030; CRT-C-0003; CRT-C-0049,
AS-041,External Perimeter Firewall,Network Appliance,Prod,Remote,Internal,Internet Boundary,HTTPS; SSH; VPN Hand-off,System Metrics; Access Logs,Primary ingress/egress enforcement point for all external traffic.,,CRT-D-0027;CRT-D-0008,CRT-C-0016; CRT-C-0017; CRT-C-0049; CRT-C-0014; CRT-C-0003; CRT-C-0065,
AS-042,Internal Segmentation Firewall,Network Appliance,Prod,Local,Internal,Segmentation Boundary,TCP; UDP; App-Filtering,Internal; Confidential,Segregates critical zones and limits lateral movement between trust domains.,,CRT-D-0027,CRT-C-0014; CRT-C-0049; CRT-C-0017; CRT-C-0065,
AS-043,Web Application Firewall (WAF),Security Appliance,Prod,Remote,SecurityVendor,Internet Boundary,HTTPS; API Gateway Frontend,Public; Customer Profiles,"Filters and inspects web traffic for injection,  XSS,  and protocol anomalies.",,CRT-D-0001;CRT-D-0007,CRT-C-0023; CRT-C-0017; CRT-C-0049; CRT-C-0003; CRT-C-0024; CRT-C-0016,
AS-044,Reverse Proxy / Edge Termination,Gateway Service,Prod,Remote,Internal,Perimeter Boundary,HTTPS; WebSockets,Public; Session Tokens,Handles TLS termination and routes traffic to internal applications.,,CRT-D-0001;CRT-D-0036,CRT-C-0003; CRT-C-0016; CRT-C-0017; CRT-C-0049; CRT-C-0019; CRT-C-0065,
AS-045,Zero Trust Access Gateway (ZTNA),Access Gateway,Prod,Remote,ZTProvider,ZTNA Boundary,HTTPS; Device Trust Handshake,Authentication Data; Device Metadata,Context-aware access layer replacing VPN dependency.,,CRT-D-0017;CRT-D-0027,CRT-C-0013; CRT-C-0007; CRT-C-0012; CRT-C-0010; CRT-C-0017; CRT-C-0049; CRT-C-0016,
AS-046,API Rate-Limiter / Throttle Layer,Gateway Component,Prod,Hybrid,Internal,Perimeter Boundary,REST; WebSockets,API Payloads; Access Logs,Controls request velocity and enforces behavioural filtering on APIs.,,CRT-D-0009;CRT-D-0008,CRT-C-0019; CRT-C-0049; CRT-C-0017; CRT-C-0003; CRT-C-0065,
AS-047,Cloud Perimeter Security Layer (CSP-Native),Security Layer,Cloud,Hybrid,CloudProvider,Cloud Boundary,HTTPS; API; VPC Routing,Cloud Metrics; Resource Metadata,Natively enforces cloud perimeter and policy routing.,,CRT-D-0027;CRT-D-0024,CRT-C-0016; CRT-C-0017; CRT-C-0049; CRT-C-0065; CRT-C-0014,
AS-48,AI Inference API Endpoint,AI Service,Prod,Hybrid,AIProvider,AI Access Boundary,REST; gRPC,Inference Data; User Input Payloads,Processes user-provided prompts and returns model-generated responses.,,CRT-D-0040;CRT-D-0009,CRT-C-0003; CRT-C-0019; CRT-C-0063; CRT-C-0064; CRT-C-0049; CRT-C-0005,
AS-049,AI Prompt Ingestion Console,Internal Tool,Prod,Local,Internal,App Tier Boundary,Web UI; HTTPS,PII; Confidential Data,"Admin/analyst interface for prompt review,  ingestion,  and redaction workflows.",,CRT-D-0006;CRT-D-0039,CRT-C-0003; CRT-C-0046; CRT-C-0064; CRT-C-0049; CRT-C-0065; CRT-C-0005,
AS-050,Vector Embedding Database,Vector Store,Prod,Hybrid,AIProvider,Data Boundary,HTTPS; API,Embeddings; Derived Data,Stores structured vector embeddings derived from internal datasets for AI retrieval.,,CRT-D-0040;CRT-D-0012,CRT-C-0002; CRT-C-0003; CRT-C-0063; CRT-C-0064; CRT-C-0049; CRT-C-0065,
AS-051,LLM Fine-Tuning Endpoint,AI Training Surface,Dev,Hybrid,AIProvider,Training Boundary,HTTPS; Model Uploads,Training Data; Sensitive Inputs,Surface accepting fine-tuning datasets for model adaptation.,,CRT-D-0040;CRT-D-0026,CRT-C-0003; CRT-C-0063; CRT-C-0064; CRT-C-0049; CRT-C-0005; CRT-C-0065,
AS-052,Model Artifact Registry,Model Repository,Dev,Local,Internal,Dev Boundary,HTTPS; CLI; API,Model Artifacts; Build Metadata,"Stores model checkpoints, configuration files,  and deployment metadata.",,CRT-D-0028,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0065; CRT-C-0020,
AS-053,Internal Feature Store,Data Service,Prod,Hybrid,Internal,Analytics Boundary,HTTPS; Spark; API,Features; ETL Data,Central feature platform providing engineered attributes to ML systems.,,CRT-D-0012;CRT-D-0026,CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0063; CRT-C-0065; CRT-C-0005,
AS-054,Secrets Broker / Token Exchange Service,Security Service,Prod,Hybrid,Internal,Auth Boundary,HTTPS; SSH; Token APIs,Secrets; Session Metadata,Manages credential issuance and short-lived token generation for workloads.,,CRT-D-0013;CRT-D-0036,CRT-C-0010; CRT-C-0012; CRT-C-0003; CRT-C-0049; CRT-C-0065; CRT-C-0005,
AS-055,Webhook Ingestion Gateway,Integration Service,Prod,Remote,External,Integration Boundary,HTTPS Webhooks,Vendor Data; API Payloads,Receives external webhook calls from partners or SaaS systems.,,CRT-D-0011;CRT-D-0009,CRT-C-0003; CRT-C-0019; CRT-C-0017; CRT-C-0049; CRT-C-0022; CRT-C-0016,
AS-056,B2B Partner API Gateway,Gateway Service,Prod,Remote,External,B2B Boundary,HTTPS; SAML; API Keys,Contract Data; Customer Data,Facilitates secure connectivity and data exchange with partners.,,CRT-D-0041;CRT-D-0007,CRT-C-0003; CRT-C-0019; CRT-C-0008; CRT-C-0017; CRT-C-0049; CRT-C-0025; CRT-C-0026; CRT-C-0027; CRT-C-0028; CRT-C-0029; CRT-C-0030,
AS-057,Managed Database-as-a-Service (DBaaS),Database Service,Prod,Cloud,CloudProvider,Cloud Boundary,Postgres; MySQL; HTTPS,Structured Data; Confidential Records,Cloud-managed relational storage for customer or internal data.,,CRT-D-0010;CRT-D-0041;CRT-D-0007,CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0062; CRT-C-0022; CRT-C-0065,
AS-058,Cloud Message Queue (SQS/Kafka/PubSub),Messaging Service,Prod,Hybrid,CloudProvider,App Boundary,HTTPS; Agent; Message APIs,Message Payloads; System Events,Event backbone carrying cross-service communication.,,CRT-D-0026;CRT-D-0027,CRT-C-0003; CRT-C-0049; CRT-C-0017; CRT-C-0065; CRT-C-0014,
AS-059,Internet-Facing Object Storage (Static Web),Object Storage,Prod,Cloud,CloudProvider,Public Cloud Boundary,HTTPS; Static Hosting,Public Data; Media,Bucket configured for static website hosting and file distribution.,,CRT-D-0001;CRT-D-0043,CRT-C-0003; CRT-C-0016; CRT-C-0017; CRT-C-0049; CRT-C-0065,
AS-060,Internal Kubernetes API Server,Orchestration Control Plane,Prod,Local,Internal,Admin Boundary,HTTPS; kubectl; API,Cluster State; Container Metadata,"Governs cluster orchestration, scheduling,  and workload security.",,CRT-D-0004;CRT-D-0027,CRT-C-0003; CRT-C-0010; CRT-C-0065; CRT-C-0049; CRT-C-0014; CRT-C-0051,
AS-061,Service Mesh Control Plane (Istio/Linkerd),Control Plane,Prod,Hybrid,Internal,Mesh Boundary,HTTPS; mTLS; API,Service Telemetry; Policies,Manages secure service-to-service communication in microservices.,,CRT-D-0023;CRT-D-0027,CRT-C-0003; CRT-C-0017; CRT-C-0049; CRT-C-0065; CRT-C-0014,
AS-062,ZT Token Issuer / Device Trust Evaluator,Identity Component,Prod,Hybrid,ZTProvider,ZTNA Boundary,HTTPS; Device Attestation,Device Metadata; Auth Data,Evaluates device posture and issues short-lived credentials.,,CRT-D-0017;CRT-D-0027,CRT-C-0007; CRT-C-0012; CRT-C-0010; CRT-C-0003; CRT-C-0017; CRT-C-0049; CRT-C-0065,
